Verwendung
"angezeigt, dienstlich verwendet"
"angezeigt, dienstlich verwendet"
Tombola
Spende
Tombola
Spende
"angezeigt, nicht mitgenommen"
 Tombola
Tombola
Tombola
Tombola
Tombola
Tombola
Tombola
"Tombola, "
Fleisch wurde nach Rücksprache mit Mitarbeiterin entsorgt 
(verderblich)
Tombola
dienstliche Nutzung
dienstliche Nutzung
Spende
"angezeigt, privat verwendet"
Tombola
"angezeigt, privat verwendet"
"angezeigt, privat verwendet"
Tombola
"angezeigt, privat verwendet"
"angezeigt, dienstlich verwendet"
"angezeigt, dienstlich verwendet"
"angezeigt, dienstlich verwendet"
Tombola
Tombola
Tombola
"angezeigt, dienstlich verwendet"
"angezeigt, dienstlich verwendet"
"angezeigt, privat verwendet"
"angezeigt, privat verwendet"
"angezeigt, privat verwendet"
Tombola
"angezeigt, privat verwendet"
"angezeigt, privat verwendet"
"angezeigt, privat verwendet"
Tombola
Tombola
Tombola
Tombola
"angezeigt, privat verwendet"
"angezeigt, dienstlich verwendet"
"angezeigt, dienstlich verwendet"
Tombola
"angezeigt, privat verwendet"
Tombola
Tombola
Spende
Tombola
Spende
Spende
Spende
"angezeigt, dienstlich verwendet"
Spende
Spende
"angezeigt, privat verwendet"
"angezeigt, dienstlich verwendet"
"angezeigt, dienstlich verwendet"
"angezeigt, privat verwendet"
"angezeigt, dienstlich verwendet"
Spende
"angezeigt, dienstlich verwendet"
"angezeigt, privat verwendet"
Tombola
"angezeigt, dienstlich verwendet"
"angezeigt, privat verwendet"
Tombola
Tombola
"angezeigt, privat verwendet"
Tombola
Tombola
Spende
Tombola
Tombola
