17.01.2014,Zentrale,Krawatte von Hermès,"","Lager
Geschenke"
"","","","",""
17.01.2014,Zentrale,"2 Krawatten Louis Vuitton, 1
Krawatte Cadini (Teile I,II,III)","","Lager
Geschenke"
"","","","",""
17.01.2014,Zentrale,"1 Krawatte Louis Vuitton, 1
Krawatte Gucci (Teile I,II)","","Lager
Geschenke"
"","","","",""
14.03.2014,"Botschaft
Prag",Herrenhut Borsalino,225,"Lager
Geschenke"
13.03.2014,Zentrale,Fotokalender USA für 2014,"","BM im Ref. 115
aufgehangen"
28.10.2013,Zentrale,"Seidenschal der Marke Mar a
Kurki","","Lager
Geschenke"
"","","","",""
21.10.2013,Zentrale,"Herrenarmbanduhr ""Treviso"" von
Aigner",ca. 100,"Lager
Geschenke"
"","","","",""
17.01.2014,"Botschaft
Prag",Manschettenknöpfe,"","Lager
Geschenke"
"","","","",""
03.03.2014,Zentrale,Schreibset der Marke Ferraghini,ca. 35,"Lager
Geschenke"
"","","","",""
03.03.2014,Zentrale,Deko Wandteller silber,"","Lager
Geschenke"
"","","","",""
03.03.2014,Zentrale,kleiner Kelimteppich,"","Lager
Geschenke"
"","","","",""
26.03.2014,????,Metallbild der Lebanese Army,"","Lager
Geschenke"
"","","","",""
28.02.2014,Zentrale,Kalligraphie,"","Lager
Geschenke"
"","","","",""
03.03.2014,Zentrale,Vase,"","Lager
Geschenke"
"","","","",""
03.03.2014,Zentrale,Holzschatulle,"","Lager
Geschenke"
"","","","",""
03.03.2014,Zentrale,Manschettenknöpfe,"","Lager
Geschenke"
"","","","",""
12.03.2014,Zentrale,Adler aus Silber,"","Lager
Geschenke"
"","","","",""
12.03.2014,Zentrale,Manschettenknöpfe,"","Lager
Geschenke"
"","","","",""
20.03.2014,Zentrale,gerahmtes Bild,"","Lager
Geschenke"
"","","","",""
20.03.2014,Zentrale,Stickerei,"","Lager
Geschenke"
"","","","",""
25.03.2014,Zentrale,Bild,"","Lager
Geschenke"
"","","","",""
25.02.2014,Zentrale,Tonbild,"","Lager
Geschenke"
"","","","",""
25.03.2014,Zentrale,"Trikot ""All Blacks""","","Lager
Geschenke"
"","","","",""
29.03.2014,Zentrale,gerahmtes Bild Elefant,"","Lager
Geschenke"
"","","","",""
29.03.2014,Zentrale,"goldener Wandteller ""African
Union""","","Lager
Geschenke"
"","","","",""
29.03.2014,Zentrale,"Gerahmtes Bild ""traditionelles
ETH Kaffeezeremonie""","","Lager
Geschenke"
"","","","",""
29.03.2014,Zentrale,Figur Trommler aus Bronze,"","Verbleib
Vorzimmer BM"
"","","","",""
31.03.2014,Zentrale,Maske aus Holz und Metall,"",Verbleib BM
"","","","",""
31.03.2014,Zentrale,Chinesisches Teeservice,"","Lager
Geschenke"
"","","","",""
02.04.2014,Zentrale,Manschettenknöpfe,"","Lager
Geschenke"
"","","","",""
03.04.2014,Zentrale,Teeservice,"","Lager
Geschenke"
"","","","",""
03.04.2014,Zentrale,Goethes Wasserglas,"","Lager
Geschenke"
"","","","",""
01.04.2014,Zentrale,"Kupfermünzen mit Prägung ""Irak""","","Lager
Geschenke"
"","","","",""
01.04.2014,Zentrale,gewebter Tischläufer,"","Lager
Geschenke"
"","","","",""
01.04.2014,Zentrale,Plakette,"","Lager
Geschenke"
"","","","",""
08.04.2014,Zentrale,Holzskulptur,"","Lager
Geschenke"
"","","","",""
10.04.2014,Zentrale,Silberdose,"","Lager
Geschenke"
"","","","",""
16.04.2014,Zentrale,"Paper-Cut Schriftrolle in CHN
Schrift","","Lager
Geschenke"
"","","","",""
16.04.2014,Zentrale,Kirschblüten in Glasbehältnis,"","Lager
Geschenke"
"","","","",""
16.04.2014,Zentrale,Origami-Kranich aus Kupfer,"","Lager
Geschenke"
"","","","",""
"","","","",""
25.04.2014,Zentrale,"Lackkunst-Holzschatulle von Iyo
Sakurai Lacquer Hall","","Lager
Geschenke"
"","","","",""
28.04.2014,Zentrale,"Bild aus buntem Stein im
Holzrahmen","","Lager
Geschenke"
"","","","",""
28.04.2014,Zentrale,"Bild gerahmt ""Winter in Svaneti""
von Kate Meskhi","","Lager
Geschenke"
"","","","",""
28.04.2014,Zentrale,Räuchergefäß,"","Lager
Geschenke"
"","","","",""
16.05.2014,Zentrale,"Bild aus Keramik im Holzrahmen
""Odessa 1794""","","Lager
Geschenke"
"","","","",""
21.05.2014,Zentrale,"gold- und silberfarbenes Schiff
zum 50-jährigen Bestehen
diplomatischer Beziehungen
zwischen KWT und DEU","","Lager
Geschenke"
"","","","",""
21.05.2014,Zentrale,"Medaille zum 50- ährigen
Bestehen diplomatischer
Beziehungen zwischen KWT und
DEU","","Lager
Geschenke"
"","","","",""
02.06.2014,Zentrale,Bild aus Kuhleder im Holzrahmen,"","Lager
Geschenke"
"","","","",""
04.06.2014,Zentrale,"Vase ""Musician""","",BM VZ
"","","","",""
04.06.2014,Zentrale,"Besteckservice ""Haddad""","","Lager
Geschenke"
"","","","",""
04.06.2014,Zentrale,Goldfarbenes Modelschiff,"",Büro 010-6
"","","","",""
04.06.2014,Zentrale,"Tariq Bin Ziad Independent
Secondary School For Boys
Medaille im Holzrahmen","","Lager
Geschenke"
"","","","",""
04.06.2014,Zentrale,Wind Tower Miniatur Katar,"",Büro 010-6
"","","","",""
04.06.2014,Zentrale,Buddy Bear,"",BM VZ
"","","","",""
05.06.2014,Zentrale,"Briefbeschwerer mit Schriftzug
der AFG Nationalpolizei","",Büro 010-6
"","","","",""
12.06.2014,Zentrale,Abbildung Sheihk Zayed Mosque,"","Lager
Geschenke"
"","","","",""
17.06.2014,Zentrale,Landschaftsgemälde mit Rahmen,"","Lager
Geschenke"
"","","","",""
17.06.2014,Zentrale,schwarze Schnitzerei,"","Lager
Geschenke"
"","","","",""
17.06.2014,Zentrale,Holzschatulle mit Münzen,"","Lager
Geschenke"
"","","","",""
"","","","",""
24.06.2014,Zentrale,"wertvolle Herrenarmbanduhr der
Marke Longines","","Lager
Geschenke"
"","","","",""
17.06.2014,Zentrale,Glasschale,"","Lager
Geschenke"
"","","","",""
16.04.2014,Zentrale,dekorativer (Wand-)-Teller,"","Lager
Geschenke"
"","","","",""
19.06.2014,Zentrale,"hochpreisige Armbanduhr
(TAGHeuer)","","Lager
Geschenke"
"","","","",""
19.06.2014,Zentrale,"hochpreisige Armbanduhr
(Baume&Mercier)","","Lager
Geschenke"
"","","","",""
24.06.2014,Zentrale,"wertvolle Uhr, Sonderedition von
Tissot","","Lager
Geschenke"
"","","","",""
17.06.2014,Zentrale,"Mini Tomato der Fa. Click and
Grow","","Lager
Geschenke"
"","","","",""
05.06.2008,Zentrale,Elefantenskulptur Kupferlegierung,"","Lager
Geschenke"
"","","","",""
19.06.2014,Zentrale,"Bilderrahmen mit Teekanne und
Tasse","","Lager
Geschenke"
"","","","",""
29.06.2014,Zentrale,Metallwimpel,"","Lager
Geschenke"
"","","","",""
29.06.2014,Zentrale,Gedenkmünze,"","Lager
Geschenke"
"","","","",""
30.06.2014,Zentrale,"Plakette anl. Achtelfinale Fußball-
WM 2014","","Lager
Geschenke"
"","","","",""
06.07.2014,Zentrale,Mongolische Pferdekopfpfeife,"",Büro 010-6
"","","","",""
06.07.2014,Zentrale,"""Credential Tablet"" goldfarben","","Lager
Geschenke"
"","","","",""
14.07.2014,Zentrale,"Silberabbildung Jerusalem im
braunem Rahmen","","Lager
Geschenke"
"","","","",""
14.07.2014,Zentrale,"""Das letzte Abendmahl"" in
Perlmutrahmen","","Lager
Geschenke"
"","","","",""
18.02.2014,Zentrale,zwei Bücher über Quatar,"","Lager
Geschenke"
"","","","",""
25.02.2014,Zentrale,Bildband Tunesien,"","Lager
Geschenke"
"","","","",""
???,Zentrale,Teetasse,"","Lager
Geschenke"
"","","","",""
19.03.2014,Zentrale,Skulptur dunkles Holz,"","Lager
Geschenke"
"","","","",""
26.06.2014,Zentrale,Bildband,"","Lager
Geschenke"
"","","","",""
"","","","",""
20.05.2014,Zentrale,Schale aus Porzellan,"","Lager
Geschenke"
"","","","",""
21.05.2014,Zentrale,zwei Münzen,"","Lager
Geschenke"
"","","","",""
01.06.2014,Zentrale,Münze,"","Lager
Geschenke"
"","","","",""
24.07.2014,Zentrale,Bild,"","Lager
Geschenke"
"","","","",""
30.07.2014,Zentrale,Skulptur goldfarben,"","Lager
Geschenke"
"","","","",""
???,Zentrale,Vase,"","Lager
Geschenke"
"","","","",""
???,Zentrale,"Buch und CDs Traumreise durch
Thailand","","Lager
Geschenke"
"","","","",""
???,Zentrale,Schale Porzellan,"","Lager
Geschenke"
"","","","",""
29.01.2014,Zentrale,Vase aus Porzellan,"","Lager
Geschenke"
"","","","",""
Feb 2014,Zentrale,"Silberarbeit hinter Glas, gerahmt","","Lager
Geschenke"
