Datum ,DienststelleBeschreibung ,Wert
07.01.2010 ,"",1925 (ca. 30cm x 90 cm),""
"","","2 Bücher """"Constantinople - The",""
07.01.2010 ,"","Patriarchal Cathedrals""""",""
"","",Lackdose rechteckig (ca. 10 cm x,""
14.01.2010 ,"",12 cm),""
"","","Holzglocke, ca. 3 cm groß und",""
14.01.2010 ,"",Bilderbuch mit Vogelmotiven,""
"","",Vase weiß mit blauen Blumen (ca.,""
14.01.2010 ,"",23 cm hoch),""
"","","Glücksbringer """"Daruma"""",",""
14.01.2010 ,"","großer, bunt gestalteter Kopf",""
"","","Große, bauchige rote Vase mit",""
"","",floralem Muster und Standfuß (ca.,""
15.01.2010 ,"",30 cm hoch),""
"","",Schal in Schachtel (Expo,""
15.01.2010 ,"",Shanghai China),""
20.01.2010 ,Zentrale ,Silberschmuck-Set,""
31.08.2009 ,"",Bildband,""
??? ,"",Dolch,""
22.10.2009 ,"",7 CD Box,""
30.10.2009 ,"",Münzen,""
23.12.2009 ,"",Bildband,""
23.12.2009 ,"",Bildband,""
23.12.2009 ,"",Bildband,""
01.02.2010 ,"","Restaurantgutschein 50,00 ",50
"","",Steinschale (Kristallgestein?) und,""
15.01.2010 ,"",goldene Anstecknadel,""
"","",Ölbild auf Leinwand von Fahad,""
"","",Abdulla Jaber (hängt im,""
10.01.2010 ,"",Vorzimmer BM),""
"","","Silberne Weltkarte """"World Map,",""
"","",Jerusalem in Center of the World,""
"","","in """"Itinerarium Sacrae Scriptura""""",""
27.01.2010 ,"","by HeinrichBuentig.""""",""
"","",Skulptur in Form einer Frau von,""
"","","Luis Duque namens """"Velàzquez",""
01.01.2010 ,"","I"""", Copyright Nr. M-106.338",""
"","","2 große rote Bücher """"From",""
Anfang ,"","Konstantiniyye to Istanbul"""" Sinan",""
Januar 2010 ,"",Genim,""
"","",Marmorfigur in Form einer Violine,""
02.02.2010 ,"",(ca. 14 cm hoch),""
"","",Silberschale mit Segelschiff-,""
"","",Symbol in der Mitte (Durchmesser,""
02.02.2010 ,"",ca. 18 cm),""
02.02.2010 ,"","Marmorrelief (ca. 8 cm x 4,5 cm)",""
"","",3 Tassen und 1 Teller (schwarz-,""
05.02.2010 ,"",gold verziert),""
??? ,"",Silberarmband mit Kupfereinlage,""
"","","Tissot Herrenarmbanduhr, ","ca. 325,-"
01.03.2010 ,"",silberfarben ,(lt. Internet)
??? ,Zentrale ,Perlenkette ,"ca. 120,-"
"",Botschaft,"",""
??? ,"","Krawatte, rosa-silber gestreift",""
"","",2 Teppiche (Aserbaidschan)+,""
"","",Tasche (andere Tasche von 1-PV,""
??? ,"",an Beschenkten überlassen),""
??? ,"",Digitaler Bilderrahmen (Intenso) ,"ca. 35,-"
"","","Schwarze Statue, ca. 45 cm hoch",""
"","","(eine Frau, die einen Wasserkrug",""
23.02.2010 ,Zentrale ,trägt),""
