Annahme von Belohnungen und Geschenken ab der 17. WP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,
"1 Buch ""Welterbe –
 Der Hildesheimer Dom und seine Schätze""",unbekannt,"Verbleib beim Beschäftigten, 
unter der Voraussetzung der Entrichtung 
einer Spende an eine karitative Einrichtung im 
(geschätzten) Gegenwert des Geschenks",,1 Tasse WDR-Lokalzeit,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,1 Präsentkorb,"Wert 
unter 25,- €","Verbleib beim 
Beschäftigten",,1 Packung Lebkuchen,"Wert 
unter 25,- €","Verbleib beim 
Beschäftigten",,,,,,"1 Breifmarkenbuch aus
Seide mit Texten 
von/über Konfuzius",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,1 Visitenkarten-Dose,"Wert unter
25€","Verbleib beim 
Beschäftigten",,,,
1 Buch,unbekannt,"Einziehung - 
Versteigerung und Erlös an eine soziale Einrichtung",,zwei Flaschen Wein,unbekannt,"Einziehung - 
Versteigerung und Erlös an eine soziale Einrichtung",,1 Topf Senf,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Lebkuchen der 
Jugendzeitschrift 
""Spiesser""",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,,,"1 mit Muscheln
gestaltete Scheibe",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,1 Handtuch,"Wert unter
25€","Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,
1 Kerzenständer,unbekannt,"Einziehung - 
Versteigerung und Erlös an eine soziale Einrichtung",,"1 Buch ""Der schönste Platz Berlins""",unbekannt,"Einziehung - 
Versteigerung und Erlös an eine soziale Einrichtung",,"Briefmarken  ""Jüdischer
Hochzeitsring Erfurt""",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Buch ""Viel und Wenig""",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,,,"2 Gedenkmünzen des
allchinesischen Jugend-
verbandes Qindao",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,4 Glastellerchen,"Wert unter
25€","Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,
"1 Buch
 (Die Kunst des Friedens) ",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,"1 Buch ""Ein Deutscher – Bischof in Russland""",unbekannt,"Einziehung - 
Versteigerung und Erlös an eine soziale Einrichtung",,1 Kugelschreiber,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,1 Handtuch,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,,,1 Tuch,"Wert unter
25€","Verbleib beim 
Beschäftigten",,"1 Fächer mit Stand-
konstruktion","Wert unter
25€","Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,
1 Buch ,unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,"1 Buch ""Für eine 
Friedenspolitik ohne
Militär""",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,1 Tasche,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,1 Tasse,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,,,1 Memory Stick ,"Wert unter
25€","Verbleib beim 
Beschäftigten",,1 USB-Stick ,"Wert unter
25€","Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,
2 Schmuckanhänger mit Kette,unbekannt,"Einziehung - 
Versteigerung und Erlös an eine soziale Einrichtung",,"1 Buch ""Die Kunst
des Friedens""",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,1 Notizbuch,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Buch mit einer 
Broschüre",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,,,1 Kaffeetassenset,"Wert unter
25€","Verbleib beim 
Beschäftigten",,,,,,,,
1 Tuch,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Buch ""Winter im Sommer - Frühling im Herbst""
",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,"1 Postkartenmappe
""Potsdam""",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,1 CD,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,,,"1 Kosmetik-Geschenk-
set","Wert unter
25€","Verbleib beim 
Beschäftigten",,,,,,,,
1 Brosche,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,1 Schachtel Pralinen,"Wert 
unter 25,- €","Verbleib beim 
Beschäftigten",,"1 Tasche 
(Johanniter-Akademie)",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Jahrbuch der Freien
Evangelischen Schule
Lörrach",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,,,"1 Buch ""Große See-
schlachten - Wende-
punkte der Weltgeschichte""","Wert unter
25€","Verbleib beim 
Beschäftigten",,,,,,,,
1 Rumänische Gedenkmünze,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,1 Tasse,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,1 Päkchen Pralinen,"Wert 
unter 25,- €","Verbleib beim 
Beschäftigten",,"1 Buch ""Ansichten 
Rheinfelden Baden""",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,,,,,,,,,,,,,
,,,,"1 Buch ""Vater Unser - 
Betrachtungen von 
Erzbischof Ludwig Schick""",unbekannt,"Verbleib beim Beschäftigten, 
unter der Voraussetzung der Entrichtung 
einer Spende an eine karitative Einrichtung im 
(geschätzten) Gegenwert des Geschenks",,"1 Buch ""Der Boden-
seekreis""",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,1 Polo-Shirt,unbekannt,"Verbleib beim Beschäftigten, 
unter der Voraussetzung der Entrichtung 
einer Spende an eine karitative Einrichtung im 
(geschätzten) Gegenwert des Geschenks",,,,,,,,,,,,,,,,
,,,,"1 Buch ""Gott und Welt in 
Württemberg - Eine
Kirchengeschichte""",unbekannt,"Verbleib beim Beschäftigten, 
unter der Voraussetzung der Entrichtung 
einer Spende an eine karitative Einrichtung im 
(geschätzten) Gegenwert des Geschenks",,1 Schachtel Pralinen,"Wert 
unter 25,- €","Verbleib beim 
Beschäftigten",,1 T-Shirt,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,,,,,,,,,,,,,
,,,,"1 Paket große 
Mikadostäbe",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Buch ""Leipzig-
Kultur- und Messe-
stadt""",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,1 Boccia-Cross-Set,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,,,,,,,,,,,,,
,,,,"1 chinesischer Füllfeder-
halter","Wert 
unter 25,- €","Verbleib beim 
Beschäftigten",,1 Schlüsselanhänger,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Buch ""Mosaico 
Boliviano""",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,,,,,,,,,,,,,
,,,,,,,,1 Schachtel Pralinen,"Wert 
unter 25,- €","Verbleib beim 
Beschäftigten",,4 Kugelschreiber,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,,,,,,,,,,,,,
,,,,,,,,4 Bücher,unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,,,,,,,,,,,,,,,,,,,
