Datum Dienststelle ,"",Beschreibung ,Wert
08.05.2007 Zentrale ,Becher (Saudi Silver Coffee Pot) 37x46cm
"","Teller von Peggy Karr Glass, viereckiger Glasteller,"
??? Zentrale ,"Motiv Leuchtturm, Adler, Segelschiff"
06.05.2007 Zentrale ,"Bethlehem 3-D-Bild aus Perlmutt, 52/38cm"
04.07.2006 Zentrale ,"Glaskaraffe 27cm hoch, 10cm Durchmesser"
"",Liegendes Kamel aus Malachit und gold gefertigt in
27.10.2008 Zentrale ,roter Truhe
??? Zentrale ,Knochenschnitzerei
09.03.2006 Zentrale ,"6 Kristallgläser (Cognac), aufwändig gearbeitet"
17.07.2008 Zentrale ,Große Vase mit Henkeln (weiß/blau)
"","Standbild aus Holzrahmen, metallgefertigt, links"
"","einheimisches Segelschiff, Palasteingang, Staat Kuwait"
21.05.2006 Zentrale ,45x33cm
??? Zentrale ,Rote Samtkiste mit geknüpftem Teppich
"","Holzschiff namens ""The Royal Ship of Cheops"" in"
13.08.2008 Zentrale ,Glasvitrine
November???Zentrale ,"Schwert, gebogen, ca 65cm lang"
"",in kupferfarbenem Blech gerahmtes und besticktes
05.05.2007 Zentrale ,"Kissen, 37x37cm"
04.07.2007 Zentrale ,"Poster ""Blauer Stern Europa"""
29.06.2007 Zentrale ,Brauner Alpaca Herrenschal
05.07.2007 Zentrale ,Bildband von M Tabacki
21.06.2007 Zentrale ,Metallrelief in Holzrahmen (32x32cm)
11.07.2008 ,Aktie Bahn-AG
24.11.2005 ,mexikanisches Kunstbuch
06.11.2006 ,"1 Radierung 12,5x10cm"
27.09.2007 ,elektronische Fotobilderrahmen
"","Wandteller mit Tiermotiven, Blech, Durchmesser ca"
29.06.2006 Zentrale ,40cm
"","Brieföffner, metall, pfeilähnlich, in rundem Steinhalter,"
15.03.2006 Zentrale ,Oberfläche angerauht
27.10.2008 Zentrale ,Silberchale
07.02.2007 Zentrale ,Bildband Belgrad
"",silberner Metallbaum auf schwarzem Steinsockel mit
"","schwarzen ""Früchten"" (Sockel 9,5x9,5cm, Höhe ca."
06.07.2006 Zentrale ,20cm)
09.02.2007 Zentrale ,"Vase ca 40cm hoch, Holz"
17.06.2009 Zentrale ,Buch über die Ukraine in deutscher Sprache
"",Runder Spiegel in handgearbeitetem Metallrahmen mit
16.06.2009 Zentrale ,"Ornamenten, Durchmesser 25cm"
"","runder bemalter Holzteller, Durchmesser 40cm,"
17.06.2009 Zentrale ,Vogelmotiv
21.05.2006 Zentrale ,"Silberne arabische Kaffeekanne, 25x25cm"
28.09.2006 Zentrale ,"Besteckkasten, Griffe aus Plastik in Form eines Vogels"
16.04.2008 Zentrale ,Vasw
11.04.2007 Zentrale ,Keramikvase
"",Gelkerze in Marmorummantelung mit Metalldeckel und
04.12.2008 Zentrale ,"Glasteller, lila"
"","gerahmte handbemalte Kachel, Goldrahmen, Atelier"
08.03.2006 Zentrale ,"""Bouhoura Keramos"" 2003, 28x50cm"
"",Bild
"",Bild
"",Bild
18.04.2007 Zentrale ,"Bild in gold, Rahmen 46x34cm"
18.02.2015 Zentrale ,"Teppich ""Garabagh"" aus Aserbaidschan"
01.11.2006 Zentrale ,Hocker aus Holz mit Schnitzereien,""
27.11.2008 Zentrale ,Afrikanische Holzfigur zum aufhängen,""
06.02.2015 Peking ,Damenchronograph DFB Sonderedition,""
12.02.2015 Peking ,Kindle E-Book-Reader,""
01.11.2014 Zentrale ,silberne Manschettenknöpfe mit schwarzem Stein,""
21.10.2014 Zentrale ,"1 Set Krawatte, Einstecktuch, Manschettenknöpfe",""
01.12.2014 Zentrale ,Bernsteinkette,""
21.12.2014 Riad ,Kalender von PAMP aus Feinsilber,""
11.02.2015 Manila ,Handtasche ,ca. 66
16.01.2015 Zentrale ,Krawatte von Louis Vuitton,""
"","Geschenkbox (Manschettenknöpfe,",""
05.12.2014 Zentrale ,"Schlüsselanhänger, USB-Stick)",""
19.11.2014 New York ,Apple iPad Mini ME 279LL/A,""
26.02.2015 Zentrale ,geschnitztes Werk mit Photo BM,""
26.02.2015 Zentrale ,"Messing Figur ""Trommler""",""
02.03.2015 Zentrale ,Braune Leder-Brieftasche,""
09.03.2015 Zentrale ,gerahmtes Bild Deutsche Bahn,""
09.03.2015 Zentrale ,Münze vergoldet,""
09.03.2015 Zentrale ,Anstecknadel vergoldet,""
12.03.2015 Zentrale ,Leder-Notizmappe A4,""
13.03.2015 Zentrale ,Lackierte Holzschale,""
"","gerahmtes Bild, ""The Temple of Jupiter Olympius,",""
10.02.2015 Zentrale ,"Athens"", J Sands, Date 1839",""
31.03.2015 Zentrale ,"Münze - Schnee-Leopard, silber",""
13.04.2015 Zentrale ,"2 Trinkgefäße, Bernstein/silber",""
09.03.2015 Zentrale ,"schwarz-weiß Stich, gerahmt",""
13.04.2015 Zentrale ,gebundenes Notizbuch,""
13.04.2015 Zentrale ,cremefarbener Kugelschreiber,""
13.04.2015 Zentrale ,Teekanne und 2 Becher,""
"","",ca.
13.04.2015 Zentrale ,Uhr Seiko Astron GPS Solar ,1.800
14.04.2015 Zentrale ,"Bilderrahmen, silber",""
23.04.2015 Zentrale ,Lapislazuli-Platte mit silbernen Torbogen,""
01.05.2015 Zentrale ,"Tonfigur ""Vinca Ladies""",""
01.05.2015 Zentrale ,Zwei Kristallgläser mit Goldrand,""
