"Seidentuch An: Botschaft Peking", 2013, 10, 18, 00.00, False, False, Lager Geschenke, fail, AA
"Tuch", 2014, 03, 13, 00.00, False, False, Lager Geschenke, fail, AA
"kleines Schmuckstück (Spielzeug aus Silber) An: Botschaft Peking", 2013, 12, 09, 00.00, False, False, Lager Geschenke, fail, AA
"Münzsammlung Jugendolympiade Nanjing 2014 An: Botschaft Peking", 2013, 09, 11, 00.00, False, False, Lager Geschenke, fail, AA
"Duftset Dolce & Gabbana", 2014, 01, 17, 00.00, False, False, Lager Geschenke, fail, AA
"Krawatte von Hermès", 2014, 01, 17, 00.00, False, False, Lager Geschenke, fail, AA
"2 Krawatten Louis Vuitton, 1 Krawatte Cadini (Teile I,II,III)", 2014, 01, 17, 00.00, False, False, Lager Geschenke, fail, AA
"1 Krawatte Louis Vuitton, 1 Krawatte Gucci (Teile I,II)", 2014, 01, 17, 00.00, False, False, Lager Geschenke, fail, AA
"Herrenhut Borsalino An: Botschaft Prag", 2014, 03, 14, 225, False, True, Lager Geschenke, fail, AA
"Fotokalender USA für 2014", 2014, 03, 13, 00.00, False, False, BM im Ref. 115 aufgehangen, success, AA
"Seidenschal der Marke Mar a Kurki", 2013, 10, 28, 00.00, False, False, Lager Geschenke, fail, AA
"Herrenarmbanduhr 'Treviso' von Aigner", 2013, 10, 21, 100, False, True, Lager Geschenke, fail, AA
"Manschettenknöpfe An: Botschaft Prag", 2014, 01, 17, 00.00, False, False, Lager Geschenke, fail, AA
"Schreibset der Marke Ferraghini", 2014, 03, 03, 35, False, True, Lager Geschenke, fail, AA
"Deko Wandteller silber", 2014, 03, 03, 00.00, False, False, Lager Geschenke, fail, AA
"kleiner Kelimteppich", 2014, 03, 03, 00.00, False, False, Lager Geschenke, fail, AA
"Metallbild der Lebanese Army An: ????", 2014, 03, 26, 00.00, False, False, Lager Geschenke, fail, AA
"Kalligraphie", 2014, 02, 28, 00.00, False, False, Lager Geschenke, fail, AA
"Vase", 2014, 03, 03, 00.00, False, False, Lager Geschenke, fail, AA
"Holzschatulle", 2014, 03, 03, 00.00, False, False, Lager Geschenke, fail, AA
"Manschettenknöpfe", 2014, 03, 03, 00.00, False, False, Lager Geschenke, fail, AA
"Adler aus Silber", 2014, 03, 12, 00.00, False, False, Lager Geschenke, fail, AA
"Manschettenknöpfe", 2014, 03, 12, 00.00, False, False, Lager Geschenke, fail, AA
"gerahmtes Bild", 2014, 03, 20, 00.00, False, False, Lager Geschenke, fail, AA
"Stickerei", 2014, 03, 20, 00.00, False, False, Lager Geschenke, fail, AA
"Bild", 2014, 03, 25, 00.00, False, False, Lager Geschenke, fail, AA
"Tonbild", 2014, 02, 25, 00.00, False, False, Lager Geschenke, fail, AA
"Trikot 'All Blacks'", 2014, 03, 25, 00.00, False, False, Lager Geschenke, fail, AA
"gerahmtes Bild Elefant", 2014, 03, 29, 00.00, False, False, Lager Geschenke, fail, AA
"goldener Wandteller 'African Union'", 2014, 03, 29, 00.00, False, False, Lager Geschenke, fail, AA
"Gerahmtes Bild 'traditionelles ETH Kaffeezeremonie'", 2014, 03, 29, 00.00, False, False, Lager Geschenke, fail, AA
"Figur Trommler aus Bronze", 2014, 03, 29, 00.00, False, False, Verbleib Vorzimmer BM, success, AA
"Maske aus Holz und Metall", 2014, 03, 31, 00.00, False, False, Verbleib BM, success, AA
"Chinesisches Teeservice", 2014, 03, 31, 00.00, False, False, Lager Geschenke, fail, AA
"Manschettenknöpfe", 2014, 04, 02, 00.00, False, False, Lager Geschenke, fail, AA
"Teeservice", 2014, 04, 03, 00.00, False, False, Lager Geschenke, fail, AA
"Goethes Wasserglas", 2014, 04, 03, 00.00, False, False, Lager Geschenke, fail, AA
