|Weihnachtskalender|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,29.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|Bewirtung|,2015,00,00,20.00,True,False,|Eigenbehalt|,True,BMF
|1 Lebensmittelpräsent|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Lebensmittelpräsent|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Lebensmittelpräsent|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Lebensmittelpräsent|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,39.80,False,True,|Verwertung|,False,BMF
|Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Kalender|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Lebensmittelpräsent|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|2 Fl. Wein|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Lebensmittelpräsent|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Fl. Wein|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,15.00,True,False,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Kalender|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Sperrholz-Weihnachtsbäumchen|,2015,00,00,20.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,15.00,True,False,|Aufnahme Bestand Bibliothek|,False,BMF
|Weihnachsgebäck, Deko|,2015,00,00,25.00,False,False,|Eigenbehalt|,True,BMF
|1 Tischuhr (Plastik)|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Dresdner Stollen|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|Schokolade|,2015,00,00,25.00,False,False,|Eigenbehalt|,True,BMF
|CD|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|1 Buch|,2015,00,00,29.00,False,True,|Verwertung|,False,BMF
|1 Computertasche (Kunststoff), 1 Bild|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Kugelschreiber-Set|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|CD|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|1 Buch|,2015,00,00,29.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Buch|,2015,00,00,30.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Präsentkorb|,2015,00,00,100.00,False,True,|Eigenbehalt|,True,BMF
|1 Computertasche, Buch|,2015,00,00,00.00,False,False,|Verwertung|,False,BMF
|1 Kugelschreiber-Set|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|1 Schal|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|1 Schal, 1 Keramikflöte|,2015,00,00,00.00,True,False,|teilweise Eigenbehalt, Verwertung|,False,BMF
|1 gerahmte Mosaikschachtel|,2015,00,00,15.00,True,False,|teilweise Eigenbehalt, Verwertung|,False,BMF
|Schokolade|,2015,00,00,20.00,True,False,|Eigenbehalt|,True,BMF
|Glasschälchen, Tasche|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|1 Schal, Schreibuntensil|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|Schokolade|,2015,00,00,20.00,True,False,|Eigenbehalt|,True,BMF
|2 Bücher je 20 €|,2015,00,00,40.00,False,True,|teilweise Verwertung|,True,BMF
|1 FI. Spirituose|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Schokolade|,2015,00,00,10.00,True,False,|Eigenbehalt|,True,BMF
