|ein Buch |, 0000, 00, 00, 024.95, True, False,| Abgabe an Bibliothek|, fail, BMV
|je ein Buch an drei Personen |, 0000, 00, 00, 0198.00, False, True,| Abgabe an Bibliothek|, fail, BMV
|ein Buch |, 0000, 00, 00, 019.95, True, False,| kostenfreie Überlassung|, success, BMV
|ein Buch |, 0000, 00, 00, 039.90, False, True,| Abgabe an Bibliothek|, fail, BMV
|ein Modellflugzeug (Maßstab 1 :48) |, 0000, 00, 00, 067.00, False, True,| Rückgabe an Schenkungsgeber|, fail, BMV
|ein Buch |, 0000, 00, 00, 048.00, False, True,| Abgabe an Bibliothek|, fail, BMV
|eine USB-Powerbank und ein USB-Ventilator beide mit Werbeaufdruck |, 0000, 00, 00, 00.00, True, True,| kostenfreie Überlassung|, success, BMV
|zwei T -Shirt im Wert von je 19|,95 Euro, die , 0000, 00, 00, 039.90,| False|, True, kostenfreie Überlassung
|verschiedene Kalender |, 0000, 00, 00, 00.00, True, True,| kostenfreie Überlassung|, success, BMV
|eine Stofftasche |, 0000, 00, 00, 00.00, True, True,| kostenfreie Überlassung|, success, BMV
|eine Medaille |, 0000, 00, 00, 00.00, True, True,| kostenfreie Überlassung|, success, BMV
|ein Taschenmesser |, 0000, 00, 00, 00.00, True, True,| kostenfreie Überlassung|, success, BMV
|ein Taschenmesser |, 0000, 00, 00, 00.00, True, True,| kostenfreie Überlassung|, success, BMV
|eine Flasche Klarer 0|,35 I , 0000, 00, 00, 00.00, True,| True|, kostenfreie Überlassung, success
|eine Lieder-CD |, 0000, 00, 00, 00.00, True, True,| kostenfreie Überlassung|, success, BMV
|eine Weihnachtskarte mit je zwei weihnachtli- |, 0000, 00, 00, 0, True, False,| |, fail, BMV
|chen Sammelbriefmarken |, 0000, 00, 00, 025.00, False, False,| kostenfreie Überlassung |, success, BMV
|eine Weihnachtskarte mit je zwei weihnachtli- |, 0000, 00, 00, 0, True, False,| |, fail, BMV
|chen Sammelbriefmarken |, 0000, 00, 00, 025.00, False, False,| kostenfreie Überlassung |, success, BMV
|ein Jahreskalender von der Sparkasse |, 0000, 00, 00, 00.00, True, False,| kostenfreie Überlassung|, success, BMV
|Buchkalender 'Die gute Saat 2012' |, 0000, 00, 00, 00.00, True, False,| kostenfreie Überlassung|, success, BMV
