"Buch "" Werte Wissen Wachstum-Was Deutschland tun muss""",19.95 ,Bibliothek
"Buch "" Konsens, Krise und Konflikt - Die deutsch-amerikanischen Beziehungen im Zeichen von Terror und Irak-Krieg""",4.50 ,Bibliothek
Jonglierbälle,,Tombola
"Kalender Bundespolizei 2011 ""60 Jahre für Ihre Sicherheit"" und Kalender ""Schlaumäuse 2011""",,Inventarisierung
Aktenmappe mit Broschüren,,Inventarisierung Referat KM 5
Tischkalender 2011,,Inventarisierung
Tischkalender 2012,,Inventarisierung
Original-Collage der Berliner Künstlerin Brigitte Lux,,Tombola
"Bilderrahmen mit Foto von Präsident Wurster, Nachbildung eines Exponats des Nationalmuseums, 2 CD`s",,Inventarisierung
Multi Tool-set,,Tombola
"Buch: ""Das Erbe der Welt""",49.95 ,Selbstbehalt
Jonglierbälle,,Tombola
bedrucktes Stofftuch aus Japan,,Tombola
"Buchkalender ""Die gute Saat 2011""",3.09 ,Inventarisierung
chin. Briefmarkensammlung - gebunden,,Inventariesierung
6 Weinflaschen,,Tombola
Digitaler Fotorahmen in Tasche,,Tombola
"Buch von Hans Gasser ""Jemen""",,Bibliothek
Holzkästchen,,Tombola
"Kugelschreiber, Füller in Etui",,Tombola
Tuchmalerei als Gastgeschenk,,Tombola
Pferdeportrait auf Lederrahmen,,Tombola
ein Tuch ,,Tombola
"1 Geschenkpackung, Inhalt 1 Fl. Nemiroff mit 2 Gläsern, 1 Keramikteller",,Tombola
Android Mini Sammlerstück,,Tombola
Folkloredekoration der Politia Romana,,Tombola
Rumänisches Folklore Set,,Tombola
Tasche mit diversen Geschenken,,Tombola
"Buch über Rumänien, 2 Medaillen in Schatulle",,Tombola
Teller (Pakistan),,Tombola
Vase,55.19 ,Versteigerung
"Schmuckkästchen, Taschenspiegel",,Tombola
Schmuckkästchen,,Tombola
Geschenkset Kroatien,,Tombola
Geschenkset Kroatien,,Tombola
"Shirt, Wimpel, Espressotassen-Set",,Tombola
Modellflugzeug A 380,29.00 ,Selbstbehalt
"Briefmarkenalbum, handgemaltes Bild",,Tombola
"Briefmarkenalbum, Bilderrahmen",,Tombola
Teebeutelset ,"unter 25,00 ",Selbstbehalt
Schlüsseltasche, ,"unter 25,00 ",Tombola
Porcelan Pen","unter 25,00 ",Tombola
gebundene Sammlung Kung futse Gespräche (deutsch und chinesisch),,Tombola
Teekann aus Porzellan,,Tombola
"Bildband - Rumänien – ein fotografisches Gedächtnis 1 Flasche Prodinalco Rachiu de Pere 1 Flasche Wein Jidvei 1 Flasche Wein Tohani Merlot 1 gebundener Kalender 2012, 1 Glaswürfel mit gelasertem Bild, 1 Münze vom Rumänischen Ministerium, 1 Manschettenknöpfe, Krawattennadel, 1 getöpferter Teller","58,26",Selbstbehalt - Spende
Kalender 2012 (Cassidian),,Inventarisierung
1 Flasche Wodka,"8,19",Selbstbehalt
6 kleine Wodkagläser, 6,99, Tombola
