22/3/2010,Karton mit Schlüsselanhänger sowie Visitenkartenbox/Delegation aus Südafrika,x,,x,,,
4/11/2010,Geschenkset (Taschenspiegel und Schlüsselanhänger) bei Vortrag vor chin. Delegation,x,,x,,,
22/4/2010,"4. Auflage Kommentar zum Betriebsrentengesetz von Marita Heinz, Verlagsgruppe Recht",,x,,x,x,
20/5/2010,"4.  Auflage Kommentar zum Betriebsrentengesetz mit Versorgungsausgleich von Kemper/Kisters-Kölkers/Berenz/Huber aus der Reihe Arbeitsrechtl. Kurzkommentare vom Pensions-Sicherungs-Verein, Köln",,x,,x,x,
14/9/2010,1 Dose grünen Tee bei Fachespräch - mit Dolmetschern - organisiert über die jap. Botschaft im BMAS über die Riester-Rente und die betriebl. Altersversorgung,x,,x,,,
12/5/2010,Krawatte mit Logo des Germanischen Loyds (GL) für Vortrag Umsetzung des ILO-Seearbeitsübereinkommens beim GL in Hamburg,x,,x,,,
8/12/2010,Wandkalender zu Weihnachten ,x,,x,,,
26/1/2010,Bausparkassen-Fachbuch 09/10,x,,x,,,
18/11/2010,Eintrittskarte zur Messe Orgatec im Zuge von Mitgliedschaft des BMAS im dnb (Deutsches Netzwerk Büro e.V.),x,,x,,,
1/3/2010,Tageskarte Cebit für 05.03.2010,,x,,x,,
25/5/2010,Schreibblock mit Kugelschreiber in farbigem Einband von jap. Besucherdelegation,x,,x,,,
7/10/2010,Porzellanclogs - Größe 4 für Vortrag vor Referenten aus dem niederl. Arbeits- und Sozialministerium,x,,x,,,
16/11/2010,Buchstütze mit Relief der chin. Mauer für Vortrag vor einer chin. Delegation,x,,x,,,
11/11/2010,Visitenkartenhalter bei Vortrag vor einer chin. Delegation,x,,x,,,
28/5/2010,Schreibblock mit Kugelschreiber in farbigem Einband von jap. Besucherdelegation,x,,x,,,
13/9/2010,2 CD´s Geschenk von der Delegation des Dänischen Beschäftigungsrates anläßlich ihres Besuches im BMAS,x,,x,,,
22/3/2010,Visitenkartenbox und Schlüsselanhänger/Delegation Südafrika,x,,x,,,
20/12/2010,"Brettspiel ""kick it"" als Weihnachtsgruß bei Ordensveranstaltung 2010",x,,x,,,
21/12/2010,Kalender 2011 bei Ordensveranstaltung 2011 ,x,,x,,,
13/1/2010,"Einlad. Festakt/Galabuffet ""Mestermacher Preis Spitzenvater 2010"" Restaurant Deutscher Bundestag/dienst. Nutzung",,x,,x,,
15/7/2010,"Einlad. Essen im Adlon ""Mestermacher Preises Managerin des Jahres 2010"" dienst. Nutzung am 17.09.2010",,x,,x,,
11/11/2010,Teilnahme an einem Essen im Hotel InterContinental zur Verleihung des Mestermacher Preises Spitzenvater des Jahres 2011,x,,x,,,
1/4/2010,2 Flaschen Wein für Vortrag bei Stadt Ulm zur UN-Behindertenkonvention,x,,x,,,
22/4/2010,"2 Packungen Räucherstäbchen, Schokolade/Grußworte 5jähr. Bestehen der Tür an Tür Integrationsprojekte gGmbH",x,,x,,,
21/12/2010,"Brettspiel ""kick it"" als Weihnachtsgruß bei Ordensveranstaltung 2010",x,,x,,,
28/4/2010,dünnes Seidentüchlein/Gespräch zu Fragen der ges. Unfallversicherung mit Herrn aus Taiwan,x,,x,,,
23/3/2010,"Visitenkartenetui aus Edelstahl mit Dekor von Director Equal Employment Policy Division, Ministry of Labor Korea",x,,,,x,
22/12/2010,"1 Flasche Qualitätswein Ahr 0,75 l als Weihnachtsgruß",x,,x,,,
22/12/2010,"1 Stück Schwarzwälder Schinken, 500 g, als Weihnachtsgruß",x,,x,,,
22/12/2010,"Taschenbuch ""Erfolgreiche Beratung"" ",,x,,x,x,
19/11/2010,Haarmeyer/Wutzke/Förster Präsenzkommentar zur Insolvenzordnung bei Gläubigerforum am 18.11.2010,x,,x,,,
19/11/2010,Haarmeyer/FrindInsolvenzrecht bei Gläubigerforum am 18.11.2010,x,,x,,,
19/11/2010,Haarmeyer/Wutzke/Förster Handbuch der vorläufigen Insolvenz bei Gläubigerforum am 18.11.2010,,x,,x,x,
28/12/2010,Armbanduhr bei aktiver Teilnahme von StS bei Veranstaltung der belg. Ratspräsidenschaft ,,x,,,x,
11/2/2010,"Sachbuch ""Vertrauen ist gut"" von Unbekannt",x,,x,,,
3/5/2010,"Buch ""Der Sozialstaat im Urteil der Bevölkerung"" von Prof. Dr. Wolfgang Glatzer Goethe-Uni Frankfurt",x,,x,,,
5/5/2010,Miniatur Buddy Bär stehend auf Sockel ,x,,x,,,
7/5/2010,"MetallRente Studie 2010 ""Jugend, Vorsorge, Finanzen - Herausford. oder Überford.? ",x,,x,,,
25/5/2010,Mosaikstier - Sozialreferentenseminar im BMAS ,x,,x,,,
25/5/2010,"Medienhandbuch Berlin 2010 von Hennes Schulz, Verleger & Chefredakteur von Topmedia Berlin",,x,,x,x,
8/6/2010,Buch über die Braunkohle im Zeitraum 1985 bis 2010,,x,,x,x,
9/6/2010,Standuhr (goldfarben auf Sockel aus Holz) bei Gesprächen mit der indischen Delegation unter Leitung des indischen Staatssekretärs Bandyopadhyay am 31.05.2010,x,,,,x,
15/6/2010,"Buch ""In diesem Geschäft gibt es keine Mathematik"" ",x,,x,,,
21/6/2010,"Flasche Riesling Spätlese trocken sowie DVD ""Zerrissene Umarmungen"" als Dank für eine Rede am 18.06.2010",x,,x,,,
25/5/2010,"Buch mit dem Titel ""Andere Augen - ein Fotolesetasthörbuch"" für Rede ",,x,,x,x,
1/7/2010,"Porzellanschälchen von KPM für Teilnahme und Rede an der Sitzung des ZDH-Ausschusses ""Sozialversicherung""",,x,,,x,
22/7/2010,Bilderrahmen mit 10 schweizer Briefmarken ,x,,x,,,
3/9/2010,Porzellanteller von Royal Delft,,x,,,x,
6/9/2010,Schmuckkästchen mit Hamsa-Symbol,,x,,,x,
14/9/2010,2 CD´s durch persönliche Überreichung,,x,,,x,
13/10/2010,1 Memospiel Nutzfahrzeuge - unaufgefordert zugeschickt,x,,x,,,
15/10/2010,"Buch zum Thema ""Ghettorenten"", Gastgeschenk bei Dienstreise nach Israel",x,,x,,,
15/10/2010,"Buch ""Zeugnisse des Holocaust - Gedenken in Yad Vashem; Gastgeschenk bei einer Dienstreise nach Israel",,x,,x,x,
26/10/2010,"3 israelische Briefmarken in Acryl, Designer Haimi Kivkovitch",x,,x,,,
26/10/2010,"Buch von Sven Söllner ""Studiengebühren und das Menschenrecht auf Bildung"" sowie Buch von Jürgen Meyer ""Charta der Grundrechte der Europäischen Union""",,x,,x,x,
8/11/2010,"Buch von Ulrike Lange-Michael und Lörg Lantelmé: ""Gudensberg"" als Gastgeschenk bei einer Podiumsdiskussion ",x,,x,,,
17/11/2010,Taschenkalender ,x,,x,,,
23/11/2010,Präsentkorb ,x,,x,,,
23/11/2010,"Buch ""55 Gründe Ingenieur zu werden""  von Autor Dr.-Ing. Ekkehard Schulz",x,,,x,x,
23/11/2010,Buchkalender für das Jahr 2011 von Repräsentant der Taipeh Vertretung der Bundesrepublik Deutschland,x,,,x,x,
25/11/2010,"Buch ""Werte Wissen Wachstum"" von Dr. Klaus Engel und Michael Vassiliadis ",x,,,x,x,
6/12/2010,"Buch ""Juristinnen"" von Marion Röwekamp ",,x,,x,x,
7/12/2010,Strohhauers Original Heidelberger Christstollen,x,,x,,,
7/12/2010,Vier Tassen ,x,,x,,,
10/12/2010,"Buch ""Einundzwanzig Jahrhundertgefahren Jahrhundertchancen""",x,,,x,x,
20/12/2010,2 Bücher: Aus Politik und Kultur 7; Digitalisierung: Kunst und Kultur sowie 2 Bücher: Aus Politik und Kultur 6; Künstlerleben: Zwischen Hype und Havarie v. Olaf Zimmermann/Theo Geißler im Rahmen einer Besprechung,,x,,x,x,
28/12/2010,"Porzellanbecher, orange als Weihnachts-/Neujahrsgruß",,x,,,x,
