Buch: Menschenrechtliche Standards in der Sicherheitspolitik, 0000, 00, 00, 00.00, False, False, Dauerleihgabe, n.a., BMI
Tasche m. Post-Logo Briefmarken (eigenes Foto) Kugelschreiber/Bleistift v. Faber-Castell, 0000, 00, 00, 00.00, True, false, Tombola Selbstbehalt Versteigerung, success, BMI
Glasvase, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Appetize-Besteck, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
2 Gutscheine Lufthansa, 0000, 00, 00, 025, False, false, Reisestelle Z 8, n.a., BMI
Stäbchen, Schal, Wandbehang, Standbild, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Buch "Faszination Fankurve", 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Seiden-Schürze, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Schatulle mit Teller, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
1 Schal, 1 Wandbehang, 1 Standbild, 1 Geschenkpkg. Ess-Stäbchen, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
1 Schlüsselanhänger,1 Kalender 2011 Moskau, 0000, 00, 00, 00.00, False, False, Tombola Besprechungsraum im BH, n.a., BMI
Zierteller, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
1 Geschenkpkg - 1 Fl. Wodka, 2 Wimpel, 1 Keramikteller, 1 Magnet, 1 Fanschal, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
1 Geschenkpkg - 1 Fl. Wodka, 1 Wimpel, 2 Anstecker, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Halstuch aus Seide, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Glaswürfel der isrealischen Regierung, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
1 Tuch, 1 Bild (mit Schälchen), 1 Buch, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
zwei Bücher, 0000, 00, 00, 00.00, False, False, Bibliothek (Dauerausleihe AL V), n.a., BMI
3 Flaschen Wein, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
alte Europol-Flagge in Schaukasten, 0000, 00, 00, 00.00, False, False, Z3-Inventarisierung (Abgabe Schaukasten an Peters zur Dauerleihe), n.a., BMI
Glasschale "Joska Kristall", 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Buch "Iszenierter Terrorismus - Mediale Konstruktionen und individuelle Interpretationen", 0000, 00, 00, 039.95, False, True, Bibliothek, n.a., BMI
in Acryl eingeschlossenes Relief, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Buch "Millennium von Litauen", 0000, 00, 00, 032.50, False, True, Selbstbehalt, success, BMI
Buch "Die Botschaft von Spanien in Berlin", 0000, 00, 00, 027.04, False, True, Selbstbehalt, success, BMI
Flasche Cuvee Überland 2008, 0000, 00, 00, 028.77, False, True, Selbstbehalt, success, BMI
Flasche Kräuter-Schnaps Trejos Devynerios, 0000, 00, 00, 08.10, True, False, Selbstbehalt, success, BMI
Schal(Seidentuch), 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Schal (Woll-Seidenmischung), 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Kalender 2010 ThyssenKrupp, 0000, 00, 00, 00.00, False, False, Inventarisierung, n.a., BMI
Schreibset und Regenschirm, 0000, 00, 00, 024.65, True, False, dienstliche Nutzung, n.a., BMI
Weinflasche in Holzkiste und USB-Stick, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Buch mit Briefmarken und Kunstband, 0000, 00, 00, 00.00, False, False, Inventarisierung, n.a., BMI
Edelstahl-Schachspiel, 0000, 00, 00, 089.00, False, True, Versteigerung Hauptzollamt, n.a., BMI
Tasche und Hülle mit seidenem handgearbeiteten Wandbehang, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
buntes Seidentuch, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Indonesische Puppe, 0000, 00, 00, 00.00, False, False, Inventarisierung, n.a., BMI
Aufsteller mit Darstellung einer historischen Stadtansicht, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Porzellan Kaffeebecher, Marke "Rosenthal", 0000, 00, 00, 029.50, False, True, Inventarisierung, n.a., BMI
Buch " Werte Wissen Wachstum-Was Deutschland tun muss", 0000, 00, 00, 019.95, True, False, Bibliothek, n.a., BMI
Buch " Konsens, Krise und Konflikt - Die deutsch-amerikanischen Beziehungen im Zeichen von Terror und Irak-Krieg", 0000, 00, 00, 04.50, True, False, Bibliothek, n.a., BMI
Jonglierbälle, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Kalender Bundespolizei 2011 "60 Jahre für Ihre Sicherheit" und Kalender "Schlaumäuse 2011", 0000, 00, 00, 00.00, False, False, Inventarisierung, n.a., BMI
Aktenmappe mit Broschüren, 0000, 00, 00, 00.00, False, False, Inventarisierung Referat KM 5, n.a., BMI
Tischkalender 2011, 0000, 00, 00, 00.00, False, False, Inventarisierung, n.a., BMI
Tischkalender 2012, 0000, 00, 00, 00.00, False, False, Inventarisierung, n.a., BMI
Original-Collage der Berliner Künstlerin Brigitte Lux, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Bilderrahmen mit Foto von Präsident Wurster, Nachbildung eines Exponats des Nationalmuseums, 2 CD`s, 0000, 00, 00, 00.00, False, False, Inventarisierung, n.a., BMI
Multi Tool-set, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Buch: "Das Erbe der Welt", 0000, 00, 00, 049.95, False, True, Selbstbehalt, success, BMI
Jonglierbälle, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
bedrucktes Stofftuch aus Japan, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Buchkalender "Die gute Saat 2011", 0000, 00, 00, 03.09, True, False, Inventarisierung, n.a., BMI
chin. Briefmarkensammlung - gebunden, 0000, 00, 00, 00.00, False, False, Inventariesierung, n.a., BMI
6 Weinflaschen, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Digitaler Fotorahmen in Tasche, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Buch von Hans Gasser "Jemen", 0000, 00, 00, 00.00, False, False, Bibliothek, n.a., BMI
Holzkästchen, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Kugelschreiber, Füller in Etui, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Tuchmalerei als Gastgeschenk, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
Pferdeportrait auf Lederrahmen, 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
ein Tuch , 0000, 00, 00, 00.00, False, False, Tombola, n.a., BMI
