"Silberner Parkscheinhalter aus Edelstahl, 2010, 12, 16, 00,00, Abgabe Dienstherr, fail, BMAS
2 CD´s bei Informationsveranstaltung über deutsche Arbeitsmarktpolitik, 2010, 9, 9, 00,00, Behalten, success, BMAS
"Buch ""125 Jahre gesetzl. Unfallversicherung - Steiflichter"" von der UK Bund-Verwaltung bei der Vorstandssitzung der UK-Bund", 2010, 6, 18, 00,00, Behalten, success, BMAS
"Nachdruck ""Reform der Armenpflege""", 2010, 3, 1, 00,00, Behalten, success, BMAS
"Gesteck mit Kunstblume in Glasvase beim Besuch einer Gruppe von behinderten Menschen, 2010, 10, 4, 00,00, Behalten (Dienstgebrauch), success, BMAS
"Teegeschenkkarton Heiko Blume, 2010, 10, 4, 00,00, Behalten (Dienstgebrauch), success, BMAS
Schokolade als Weihnachtsgruss, 2010, 12, 14, 00,00, Behalten, success, BMAS
"Holzdekoration von Direktor Arbeitsministerium Südkorea, 2010, 3, 23, 00,00, Rueckgabe, fail, BMAS
2 Dankesschreiben in Glasrahmen, 2010, 1, 27, 00,00, Abgabe Dienstherr, fail, BMAS
Teilnahme an Frühlingsfest des Deutschen Führungskräfteverbandes UAL am 04.05.2010, 2010, 4, 19, 00,00, Behalten (Dienstgebrauch), success, BMAS
Brokatstickerei hinter Glas im Holzrahmen bei Vortrags- und Gesprächstermin einer chin. Delegation, 2010, 11, 2, 00,00, Behalten, success, BMAS
"1 Musik-CD mit Folklore, 2010, 11, 16, 00,00, Behalten (Dienstgebrauch), success, BMAS
"Wandkalender ""Ikebana 2011"" bzgl. verschiedener Arbeitskontakten von jap. Botschaft", 2010, 12, 13, 00,00, Behalten, success, BMAS
Karton mit Schlüsselanhänger sowie Visitenkartenbox/Delegation aus Südafrika, 2010, 3, 22, 00,00, Behalten, success, BMAS
Geschenkset (Taschenspiegel und Schlüsselanhänger) bei Vortrag vor chin. Delegation, 2010, 11, 4, 00,00, Behalten, success, BMAS
"4. Auflage Kommentar zum Betriebsrentengesetz von Marita Heinz, 2010, 4, 22, 00,00, Rueckgabe, fail, BMAS
"4.  Auflage Kommentar zum Betriebsrentengesetz mit Versorgungsausgleich von Kemper/Kisters-Kölkers/Berenz/Huber aus der Reihe Arbeitsrechtl. Kurzkommentare vom Pensions-Sicherungs-Verein, 2010, 5, 20, 00,00, Rueckgabe, fail, BMAS
1 Dose grünen Tee bei Fachespräch - mit Dolmetschern - organisiert über die jap. Botschaft im BMAS über die Riester-Rente und die betriebl. Altersversorgung, 2010, 9, 14, 00,00, Behalten, success, BMAS
Krawatte mit Logo des Germanischen Loyds (GL) für Vortrag Umsetzung des ILO-Seearbeitsübereinkommens beim GL in Hamburg, 2010, 5, 12, 00,00, Behalten, success, BMAS
Wandkalender zu Weihnachten, 2010, 12, 8, 00,00, Behalten, success, BMAS
Bausparkassen-Fachbuch 09/10, 2010, 1, 26, 00,00, Behalten, success, BMAS
Eintrittskarte zur Messe Orgatec im Zuge von Mitgliedschaft des BMAS im dnb (Deutsches Netzwerk Büro e.V.), 2010, 11, 18, 00,00, Behalten, success, BMAS
Tageskarte Cebit für 05.03.2010, 2010, 3, 1, 00,00, Behalten (Dienstgebrauch), success, BMAS
Schreibblock mit Kugelschreiber in farbigem Einband von jap. Besucherdelegation, 2010, 5, 25, 00,00, Behalten, success, BMAS
Porzellanclogs - Größe 4 für Vortrag vor Referenten aus dem niederl. Arbeits- und Sozialministerium, 2010, 10, 7, 00,00, Behalten, success, BMAS
Buchstütze mit Relief der chin. Mauer für Vortrag vor einer chin. Delegation, 2010, 11, 16, 00,00, Behalten, success, BMAS
Visitenkartenhalter bei Vortrag vor einer chin. Delegation, 2010, 11, 11, 00,00, Behalten, success, BMAS
Schreibblock mit Kugelschreiber in farbigem Einband von jap. Besucherdelegation, 2010, 5, 28, 00,00, Behalten, success, BMAS
2 CD´s Geschenk von der Delegation des Dänischen Beschäftigungsrates anläßlich ihres Besuches im BMAS, 2010, 9, 13, 00,00, Behalten, success, BMAS
