eine Krawattennadel , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
ein Fläschchen 5 cl Becherovka , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
Angebot zum Besuch der Wiener Staatsoper , Bundesministerium der Verteidigung, seit 10/2009, n.a.,  Annahme abgelehnt, BMV, success
drei Bücher im Wert von jeweils über 25,00 , Bundesministerium der Verteidigung, seit 10/2009,  > 75,  Abgabe an Bibliothek, BMV, success
ein Buch , Bundesministerium der Verteidigung, seit 10/2009, 24,95 , Abgabe an Bibliothek, BMV, success
je ein Buch an drei Personen , Bundesministerium der Verteidigung, seit 10/2009, 198,00 , Abgabe an Bibliothek, BMV, success
ein Buch , Bundesministerium der Verteidigung, seit 10/2009, 19,95 , kostenfreie Überlassung, BMV, success
ein Buch , Bundesministerium der Verteidigung, seit 10/2009, 39,90 , Abgabe an Bibliothek, BMV, success
ein Modellflugzeug (Maßstab 1 :48) , Bundesministerium der Verteidigung, seit 10/2009, 67,00 , Rückgabe an Schenkungsgeber, BMV, success
ein Buch , Bundesministerium der Verteidigung, seit 10/2009, 48,00 , Abgabe an Bibliothek, BMV, success
eine USB-Powerbank und ein USB-Ventilator beide mit Werbeaufdruck , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
zwei T -Shirt im Wert von je 19,95 Euro, die , Bundesministerium der Verteidigung, seit 10/2009, 39,90, kostenfreie Überlassung, BMV, success
verschiedene Kalender , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
eine Stofftasche , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
eine Medaille , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
ein Taschenmesser , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
ein Taschenmesser , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
eine Flasche Klarer 0,35 I , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
eine Lieder-CD , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
eine Weihnachtskarte mit je zwei weihnachtli- , Bundesministerium der Verteidigung, seit 10/2009, unter , , BMV, success
chen Sammelbriefmarken , Bundesministerium der Verteidigung, seit 10/2009, 25,00 , kostenfreie Überlassung , BMV, success
eine Weihnachtskarte mit je zwei weihnachtli- , Bundesministerium der Verteidigung, seit 10/2009, unter , , BMV, success
chen Sammelbriefmarken , Bundesministerium der Verteidigung, seit 10/2009, 25,00 , kostenfreie Überlassung , BMV, success
ein Jahreskalender von der Sparkasse , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
Buchkalender "Die gute Saat 2012" , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
Kalender der Fa. SAP , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
ein Buch ein silberfarbener Teller , Bundesministerium der Verteidigung, seit 10/2009, n.a. ,  Gastgeschenk ist in das Eigentum des Bundes übergegangen, BMV, success
Präsentkarton mit drei Flaschen Wein , Bundesministerium der Verteidigung, seit 10/2009, 25,00 , kostenfreie Überlassung , BMV, success
Tischuhr im Holzwürfel , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
Wappen , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
Wappen , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
Wappen , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
Kugelschreiber , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
diverse Wandkalender verschiedener Firmen im Wert von je 5,- bis 10,- Euro , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
ein Erinnerungsfoto ehemaliger Bw-Soldaten und eine Flasche Allgäuer Gebirgsenzian , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
Herrenduft, 50 ml , Bundesministerium der Verteidigung, seit 10/2009, n.a. , Gastgeschenk ist in das Eigentum des Bundes übergegangen , BMV, success
Damenduft, 30 ml , Bundesministerium der Verteidigung, seit 10/2009, n.a. , Gastgeschenk ist in das Eigentum des Bundes übergegangen, BMV, success
