Tischdecke, Auswärtiges Amt, 2014/01/06, , Lager Geschenke, AA, fail
Armbanduhr Raidillon, Auswärtiges Amt, 2014/01/07, mind. 1.400, Tresor, AA, fail
Skulptur, Auswärtiges Amt, 2014/01/08, , Lager Geschenke, AA, fail
Bogen Pyramide Christi Geburt (Weihnachtspyramide), Auswärtiges Amt, 2014/01/08, , Lager Geschenke, AA, fail
2 Anstecknadeln mit AGO Flagge/Emblem, Auswärtiges Amt, 2012/02/15, , Lager Geschenke, AA, fail
3 DVDs "Schumann at Pier 2", Auswärtiges Amt, Dez 2012, , Lager Geschenke, AA, fail
CD/DVD  ?  "Musical Tribute to the King", Auswärtiges Amt, Dez 2012, , Lager Geschenke, AA, fail
Teeservice für 2 Personen, Postkarte (Nature of Kazakhstan), Auswärtiges Amt, 2013/07/09, , Lager Geschenke, AA, fail
Messing-Kännchen mit Vogelkopf, Auswärtiges Amt, 2013/07/15, , Lager Geschenke, AA, fail
Kristall-? Stein; silberne Brosche (Blume) mit braunem Stein in der Mitte, Auswärtiges Amt, 2013/10/24, , Lager Geschenke, AA, fail
Bild  Skyline von Singapur, aus Holz gefertigt), Auswärtiges Amt, 2013/12/03, , Lager Geschenke, AA, fail
silberne Dose  viereckig  mit Pflanzenmuster, Auswärtiges Amt, 2013/12/13, , Lager Geschenke, AA, fail
blau-weiße Porzellandose (rund), Auswärtiges Amt, 2013/12/19, , Lager Geschenke, AA, fail
bestickter Mantel und Buch "Gerettete Schätze Afghanistan - Die Sammlung des Nationalmuseums in Kabul", Auswärtiges Amt, 2013/12/20, , Lager Geschenke, AA, fail
zwei Heiligenbilder auf Holz gr. und kl.), Auswärtiges Amt, 2013/12/23, , Lager Geschenke, AA, fail
Hermès-Tuch, Auswärtiges Amt, Dez 2013, , Lager Geschenke, AA, fail
Roeckl-Tuch, Auswärtiges Amt, Dez 2013, , Lager Geschenke, AA, fail
Kettenanhänger  silber  mit Achat- Stein, Auswärtiges Amt, Dez 2013, , Lager Geschenke, AA, fail
hölzernes Tablett  viereckig, geschnitzt, mit Glasplatte), Auswärtiges Amt, Dez 2013, , Lager Geschenke, AA, fail
KPM-Bär (Käse), Auswärtiges Amt, Dez 2013, , Lager Geschenke, AA, fail
Adagio-Tuch, Auswärtiges Amt, Dez 2013, , Lager Geschenke, AA, fail
Buch "Brasilia - Von der Utopie zur Hauptstadt", Auswärtiges Amt, Dez 2013, , Lager Geschenke, AA, fail
Kerzenständer, Auswärtiges Amt, Dez 2013, , Lager Geschenke, AA, fail
Siebdruck "Stern von Bethlehehm" (Künstlerin: Kitty Kahane), Auswärtiges Amt, Dez 2013, , Lager Geschenke, AA, fail
bunt gemusterte Porzellan-Dose (Narai Phand) DEFEKT, Auswärtiges Amt, Dez 2013, , Lager Geschenke, AA, fail
Deutsche Welle-Tuch, Auswärtiges Amt, 2013, , Lager Geschenke, AA, fail
3 DVDs "The Colón Ring", Auswärtiges Amt, 2013, , Lager Geschenke, AA, fail
Rote Glasvase mit goldener Bemalung, Höhe 20cm, Auswärtiges Amt, 2006/06/02, , Lager Geschenke, AA, fail
kleines Silbergefäß "Kantharos", Auswärtiges Amt, 2014/01/13, , Lager Geschenke, AA, fail
Hellas Gravuren, Auswärtiges Amt, 2014/01/13, , Lager Geschenke, AA, fail
Bild  (bunte Farben,viergeteilt), Auswärtiges Amt, 2014/01/13, , Lager Geschenke, AA, fail
Kugelschreiber von Hazorfim personale, Auswärtiges Amt, 2014/01/16, , Lager Geschenke, AA, fail
Bild aus Perlmutt "Olive Tree from Palestine", Auswärtiges Amt, 2014/01/16, , Lager Geschenke, AA, fail
Modell einer arabischen Dhau, Auswärtiges Amt, ???, , 311-RL, Raum 4.1.09, AA, fail
hölzernes Modell Borobudur Temple, Auswärtiges Amt, ???, , Lager 5.0.10, AA, fail
Krawatte Martha´s vineyard, Auswärtiges Amt, 2014/02/03, , Lager Geschenke, AA, fail
