Geschenk; Ministerium; Datum; Wert; Verbleib
'13 Bilder z. B. chin. Bild in blauer Schachtel, Karikatur', 'Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit', seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
Geschenkset , Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
Große Tasche , Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
Hennessey Cognac in Geschenkverpackung, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
Kartenetui aus Holz, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
Kette , Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
Medaille (Vietnam) , Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., als Spende Sozialen Zwecken zugeführt, BMU, n.a.
Paper Wheigts , Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
Schlüsselanhänger , Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
Schraubendreher , Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
'Signalweste, Stift, Post-it Block, Feuerzeug', Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
'Tablett, Untersetzer, Kulihalter ', Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
'Tischset, Servietten, Tischläufer', Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
