Eintrittskarte zur Messe Orgatec im Zuge von Mitgliedschaft des BMAS im dnb (Deutsches Netzwerk Büro e.V.), Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/18, Behalten, BMAS, success
Kamm aus Horn bei Delegationsreise des chin. Ministeriums mit Gespräch im BMAS, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/12, Behalten, BMAS, success
Leichte Wind-Jacke mit Firmen-Logo anläßlich einer Mitarbeiter/innen-Schulung des BMAS-Bürgertelefons zum Thema trägerübergreifendes Persönliches Budget, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/9/20, Behalten, BMAS, success
1 Flasche Wein bei  Landräteseminar Hessen, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/8/25, Behalten, BMAS, success
Bild und DVD als Dank für den Vortrag über die Regelungen des über- und zwischenstaatl. Sozialversicherungsrechts, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/7/16, Abgabe Dienstherr, BMAS, success
Herrenhemd für Vortrag für eine indonesiche Delegation, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/9/23, Behalten, BMAS, success
2 Flaschen Wein für guten Zusammenarbeit, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/7, Behalten, BMAS, success
"Silberner Parkscheinhalter aus Edelstahl, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/16, Abgabe Dienstherr, BMAS, success
2 CD´s bei Informationsveranstaltung über deutsche Arbeitsmarktpolitik, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/9/9, Behalten, BMAS, success
"Buch ""125 Jahre gesetzl. Unfallversicherung - Steiflichter"" von der UK Bund-Verwaltung bei der Vorstandssitzung der UK-Bund", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/6/18, Behalten, BMAS, success
"Nachdruck ""Reform der Armenpflege""", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/3/1, Behalten, BMAS, success
"Gesteck mit Kunstblume in Glasvase beim Besuch einer Gruppe von behinderten Menschen, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/10/4, Behalten (Dienstgebrauch), BMAS, success
"Teegeschenkkarton Heiko Blume, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/10/4, Behalten (Dienstgebrauch), BMAS, success
Schokolade als Weihnachtsgruss, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/14, Behalten, BMAS, success
"Holzdekoration von Direktor Arbeitsministerium Südkorea, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/3/23, Behalten, BMAS, success
2 Dankesschreiben in Glasrahmen, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/1/27, Abgabe Dienstherr, BMAS, success
Teilnahme an Frühlingsfest des Deutschen Führungskräfteverbandes UAL am 04.05.2010, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/4/19, Behalten (Dienstgebrauch), BMAS, success
Brokatstickerei hinter Glas im Holzrahmen bei Vortrags- und Gesprächstermin einer chin. Delegation, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/2, Behalten, BMAS, success
"1 Musik-CD mit Folklore, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/16, Behalten (Dienstgebrauch), BMAS, success
"Wandkalender ""Ikebana 2011"" bzgl. verschiedener Arbeitskontakten von jap. Botschaft", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/13, Behalten, BMAS, success
Karton mit Schlüsselanhänger sowie Visitenkartenbox/Delegation aus Südafrika, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/3/22, Behalten, BMAS, success
Geschenkset (Taschenspiegel und Schlüsselanhänger) bei Vortrag vor chin. Delegation, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/4, Behalten, BMAS, success
"4. Auflage Kommentar zum Betriebsrentengesetz von Marita Heinz, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/4/22, Abgabe Dienstherr, BMAS, success
"4.  Auflage Kommentar zum Betriebsrentengesetz mit Versorgungsausgleich von Kemper/Kisters-Kölkers/Berenz/Huber aus der Reihe Arbeitsrechtl. Kurzkommentare vom Pensions-Sicherungs-Verein, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/5/20, Abgabe Dienstherr, BMAS, success
1 Dose grünen Tee bei Fachespräch - mit Dolmetschern - organisiert über die jap. Botschaft im BMAS über die Riester-Rente und die betriebl. Altersversorgung, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/9/14, Behalten, BMAS, success
Krawatte mit Logo des Germanischen Loyds (GL) für Vortrag Umsetzung des ILO-Seearbeitsübereinkommens beim GL in Hamburg, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/5/12, Behalten, BMAS, success
Wandkalender zu Weihnachten, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/8, Behalten, BMAS, success
Bausparkassen-Fachbuch 09/10, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/1/26, Behalten, BMAS, success
Eintrittskarte zur Messe Orgatec im Zuge von Mitgliedschaft des BMAS im dnb (Deutsches Netzwerk Büro e.V.), Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/18, Behalten, BMAS, success
Tageskarte Cebit für 05.03.2010, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/3/1, Behalten (Dienstgebrauch), BMAS, success
Schreibblock mit Kugelschreiber in farbigem Einband von jap. Besucherdelegation, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/5/25, Behalten, BMAS, success
Porzellanclogs - Größe 4 für Vortrag vor Referenten aus dem niederl. Arbeits- und Sozialministerium, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/10/7, Behalten, BMAS, success
Buchstütze mit Relief der chin. Mauer für Vortrag vor einer chin. Delegation, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/16, Behalten, BMAS, success
Visitenkartenhalter bei Vortrag vor einer chin. Delegation, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/11, Behalten, BMAS, success
Schreibblock mit Kugelschreiber in farbigem Einband von jap. Besucherdelegation, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/5/28, Behalten, BMAS, success
2 CD´s Geschenk von der Delegation des Dänischen Beschäftigungsrates anläßlich ihres Besuches im BMAS, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/9/13, Behalten, BMAS, success
Visitenkartenbox und Schlüsselanhänger/Delegation Südafrika, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/3/22, Behalten, BMAS, success
"Brettspiel ""kick it"" als Weihnachtsgruß bei Ordensveranstaltung 2010", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/20, Behalten, BMAS, success
Kalender 2011 bei Ordensveranstaltung 2011, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/21, Behalten, BMAS, success
"Einlad. Festakt/Galabuffet ""Mestermacher Preis Spitzenvater 2010"" Restaurant Deutscher Bundestag/dienst. Nutzung", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/1/13, Behalten (Dienstgebrauch), BMAS, success
"Einlad. Essen im Adlon ""Mestermacher Preises Managerin des Jahres 2010"" dienst. Nutzung am 17.09.2010", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/7/15, Behalten (Dienstgebrauch), BMAS, success
Teilnahme an einem Essen im Hotel InterContinental zur Verleihung des Mestermacher Preises Spitzenvater des Jahres 2011, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/11, Behalten, BMAS, success
2 Flaschen Wein für Vortrag bei Stadt Ulm zur UN-Behindertenkonvention, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/4/1, Behalten, BMAS, success
"2 Packungen Räucherstäbchen, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/4/22, Behalten (Dienstgebrauch), BMAS, success
"Brettspiel ""kick it"" als Weihnachtsgruß bei Ordensveranstaltung 2010", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/21, Behalten, BMAS, success
dünnes Seidentüchlein/Gespräch zu Fragen der ges. Unfallversicherung mit Herrn aus Taiwan, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/4/28, Behalten, BMAS, success
"Visitenkartenetui aus Edelstahl mit Dekor von Director Equal Employment Policy Division, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/3/23, Behalten, BMAS, success
"1 Flasche Qualitätswein Ahr 0, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/22, Behalten (Dienstgebrauch), BMAS, success
"1 Stück Schwarzwälder Schinken, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/22, Abgabe Dienstherr, BMAS, success
"Taschenbuch ""Erfolgreiche Beratung"" ", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/22, Abgabe Dienstherr, BMAS, success
Haarmeyer/Wutzke/Förster Präsenzkommentar zur Insolvenzordnung bei Gläubigerforum am 18.11.2010, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/19, Behalten, BMAS, success
Haarmeyer/FrindInsolvenzrecht bei Gläubigerforum am 18.11.2010, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/19, Behalten, BMAS, success
Haarmeyer/Wutzke/Förster Handbuch der vorläufigen Insolvenz bei Gläubigerforum am 18.11.2010, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/19, Abgabe Dienstherr, BMAS, success
Armbanduhr bei aktiver Teilnahme von StS bei Veranstaltung der belg. Ratspräsidenschaft, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/28, Abgabe Dienstherr, BMAS, success
"Sachbuch ""Vertrauen ist gut"" von Unbekannt", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/2/11, Behalten, BMAS, success
"Buch ""Der Sozialstaat im Urteil der Bevölkerung"" von Prof. Dr. Wolfgang Glatzer Goethe-Uni Frankfurt", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/5/3, Behalten, BMAS, success
Miniatur Buddy Bär stehend auf Sockel, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/5/5, Behalten, BMAS, success
"MetallRente Studie 2010 ""Jugend, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/5/7, Abgabe Dienstherr, BMAS, success
Mosaikstier - Sozialreferentenseminar im BMAS, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/5/25, Behalten, BMAS, success
"Medienhandbuch Berlin 2010 von Hennes Schulz, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/5/25, Abgabe Dienstherr, BMAS, success
Buch über die Braunkohle im Zeitraum 1985 bis 2010, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/6/8, Abgabe Dienstherr, BMAS, success
Standuhr (goldfarben auf Sockel aus Holz) bei Gesprächen mit der indischen Delegation unter Leitung des indischen Staatssekretärs Bandyopadhyay am 31.05.2010, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/6/9, Abgabe Dienstherr, BMAS, success
"Buch ""In diesem Geschäft gibt es keine Mathematik"" ", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/6/15, Behalten, BMAS, success
"Flasche Riesling Spätlese trocken sowie DVD ""Zerrissene Umarmungen"" als Dank für eine Rede am 18.06.2010", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/6/21, Behalten, BMAS, success
"Buch mit dem Titel ""Andere Augen - ein Fotolesetasthörbuch"" für Rede ", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/5/25, Abgabe Dienstherr, BMAS, success
"Porzellanschälchen von KPM für Teilnahme und Rede an der Sitzung des ZDH-Ausschusses ""Sozialversicherung""", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/7/1, Abgabe Dienstherr, BMAS, success
Bilderrahmen mit 10 schweizer Briefmarken, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/7/22, Behalten, BMAS, success
Porzellanteller von Royal Delft, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/9/3, Abgabe Dienstherr, BMAS, success
Schmuckkästchen mit Hamsa-Symbol, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/9/6, Abgabe Dienstherr, BMAS, success
2 CD´s durch persönliche Überreichung, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/9/14, Abgabe Dienstherr, BMAS, success
1 Memospiel Nutzfahrzeuge - unaufgefordert zugeschickt, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/10/13, Behalten, BMAS, success
"Buch zum Thema ""Ghettorenten"", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/10/15, Behalten (Dienstgebrauch), BMAS, success
"Buch ""Zeugnisse des Holocaust - Gedenken in Yad Vashem; Gastgeschenk bei einer Dienstreise nach Israel", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/10/15, Abgabe Dienstherr, BMAS, success
"3 israelische Briefmarken in Acryl, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/10/26, Behalten (Dienstgebrauch), BMAS, success
"Buch von Sven Söllner ""Studiengebühren und das Menschenrecht auf Bildung"" sowie Buch von Jürgen Meyer ""Charta der Grundrechte der Europäischen Union""", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/10/26, Abgabe Dienstherr, BMAS, success
"Buch von Ulrike Lange-Michael und Lörg Lantelmé: ""Gudensberg"" als Gastgeschenk bei einer Podiumsdiskussion ", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/8, Behalten, BMAS, success
Taschenkalender, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/17, Behalten, BMAS, success
Präsentkorb, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/23, Behalten, BMAS, success
"Buch ""55 Gründe Ingenieur zu werden""  von Autor Dr.-Ing. Ekkehard Schulz", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/23, Abgabe Dienstherr, BMAS, success
Buchkalender für das Jahr 2011 von Repräsentant der Taipeh Vertretung der Bundesrepublik Deutschland, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/23, Abgabe Dienstherr, BMAS, success
"Buch ""Werte Wissen Wachstum"" von Dr. Klaus Engel und Michael Vassiliadis ", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/25, Abgabe Dienstherr, BMAS, success
