1 Buch, Bundesfinanzministerium, 2015, 73 138,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Briefmarken, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 kl. Porzellanglocke, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'1 Fl. Wein, Senf', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Tagungsteilnahme, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
'1 Fl. Wein, Senf', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
kl. Stickbild, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, 138,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Krawatte, Bundesfinanzministerium, 2015, < 20,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, 9,20 ,  Verwertung, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, < 17,00 , Behalten, BMF, success
Erinnerungsbrett Bahn, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
‚gerahmtes Plakat, Bundesfinanzministerium, 2015, 80,00–150,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Krawatte, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Tagungsteilnahme, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
'kl. Holzfigur, Stofftasche', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'kl. Holzfigur, Stofftasche', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'kl. Holzfigur, Stofftasche', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'1 Festschrift, 1 Kugelschreiber, 1 Notizbuch', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
