1 Buch „125 Jahre Rheinische  Kliniken Düren…“, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
1 Adventskalender, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, Wert  < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Schlüsselband, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch  "Warum wir uns ändern müssen", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
1 Grußkartenset, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch "Älter werden, Neues wagen", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
1 Kugelschreiber , Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Schneidebrett, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
1 Flasche  Aprikosen-Weinessig, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Krawattennadel, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Stollen und 1 Packung Plätzchen, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, Wert  < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Buch "Aus Erfahrung gut - Wie die Älteren die Arbeitswelt erneuern", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
1 Schaal, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Buch "An der Seite der Armen" , Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
1 Flasche Wein 0,75 l, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch "Vorbild mit  kleinen Fehlern", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Packung "Ratinger Steine", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch "40 Jahre DZA, 1974 - 2014", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
1 Kiste mit Visiten- kartenhalter, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Buch "Auf Hoffnung hin sind  wir gerettet – Spe salvi" , Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
