Sockel aus Bruchstück der alten Staumauer vonRheinfelden und oben aufgesetzter Kubus aus Glas mitnachgebildeter Turbine, Auswärtiges Amt, 2008/06/06, , Geschenkelager, AA, fail
silbernes Schälchen mit filigranen Ornamenten inblauer Schachtel, Auswärtiges Amt, 2008/10/08, , Geschenkelager, AA, fail
steinernes Stilleben im Rahmen (24cm h, 35cm b), Auswärtiges Amt, 2006/11/03, , Geschenkelager, AA, fail
silberner TÜSIAD Teller, Auswärtiges Amt, 2008/01/21, , Geschenkelager, AA, fail
Silbermünze 3 mit Bildeinlage-Arbeiten des Sultans,des Kronprinzen und seiner Frau, Auswärtiges Amt, 2006/06/13, , Geschenkelager, AA, fail
Steinmosaik, afghanischer Reiter, rund, zumAufhängen, Durchmesser 30cm, Auswärtiges Amt, 2007/05/22, , Geschenkelager, AA, fail
Blau gemusterte Vase, Auswärtiges Amt, 2008/07/04, , Geschenkelager, AA, fail
Schreibunterlage aus braunem Leder 67cm breit,46cm hoch), Auswärtiges Amt, 2006/11/23, , Geschenkelager, AA, fail
Goldmünze Durchmesser ca 6cm, Auswärtiges Amt, ???, , Geschenkelager, AA, fail
Prozellanteller, "Kütahya Porselen", mit goldenerVerzierung, Rankenmuster, Auswärtiges Amt, 2006/06/02, , Geschenkelager, AA, fail
Spieluhr Karussel mit 3 Pferden, Auswärtiges Amt, 2008/10/04, , Geschenkelager, AA, fail
Prozellanuhr, Auswärtiges Amt, 2008/05/14, , Geschenkelager, AA, fail
Krummdolch, silber, 30x23cm, Auswärtiges Amt, 2006/05/23, , Geschenkelager, AA, fail
aus Holz geschnitzter Löwe schwarz , ca. 72cm lang,ca. 23cm hoch, (Schwanz ist angebrochen), Auswärtiges Amt, 2009/04/07, , Geschenkelager, AA, fail
Illyrische Gottesstatue ca 30cm, Auswärtiges Amt, 2007/07/06, , Geschenkelager, AA, fail
Silberschatulle von KSW 3x10x18cm, Auswärtiges Amt, 2007/05/23, , Geschenkelager, AA, fail
Reitsporen aus Silber, Auswärtiges Amt, 2008/02/05, , Geschenkelager, AA, fail
Runde Servierschale, versilbert, drei Füße,Durchmesser 18cm, Auswärtiges Amt, 2007/05/23, , Geschenkelager, AA, fail
silberner Teller, Salisbury Pewter, Durchmesser 16cm, Auswärtiges Amt, 2007/05/22, , Geschenkelager, AA, fail
Blumentopf bunt mit Blumenmuster, verziert mitElefantenköpfen, Durchmesser 20cm, Auswärtiges Amt, 2009/03/09, , Geschenkelager, AA, fail
3-D-gerahmte Stele "Stele of Hammurabi-Iraq 1792-1750 B.C.", Auswärtiges Amt, 2009/02/17, , Geschenkelager, AA, fail
Bone letter opener, maori carving in RIMU desk tray6x19cm, Auswärtiges Amt, 2006/07/07, , Geschenkelager, AA, fail
Briefmarkensammlung, Auswärtiges Amt, ???, , Geschenkelager, AA, fail
Silberner Krummdolch 25x32cm mit Gürtel, Auswärtiges Amt, 2006/05/22, , Geschenkelager, AA, fail
ovales Bild mit Perlmutt bstückt, Motiv 12 Apostel undGebet, Auswärtiges Amt, 2008/06/02, , Geschenkelager, AA, fail
grüner Teller Durchmesser ca 40cm undHolzschnitzerei zum aufstellen, Auswärtiges Amt, ???, , Geschenkelager, AA, fail
Umhang, Auswärtiges Amt, 2008/02/12, , Geschenkelager, AA, fail
goldener Reif eingerahmt in roter Schachtel, Auswärtiges Amt, 2008/12/18, , Geschenkelager, AA, fail
Messinglegiertes Tablett 47cm, Auswärtiges Amt, ???, , Geschenkelager, AA, fail
Großes 3-D-Bild, gerahmt, verglast, Kaffeekanne mitBecher (Saudi Silver Coffee Pot) 37x46cm, Auswärtiges Amt, 2007/05/08, , Geschenkelager, AA, fail
Teller von Peggy Karr Glass, viereckiger Glasteller,Motiv Leuchtturm, Adler, Segelschiff, Auswärtiges Amt, ???, , Geschenkelager, AA, fail
Bethlehem 3-D-Bild aus Perlmutt, 52/38cm, Auswärtiges Amt, 2007/05/06, , Geschenkelager, AA, fail
Glaskaraffe 27cm hoch, 10cm Durchmesser, Auswärtiges Amt, 2006/07/04, , Geschenkelager, AA, fail
Liegendes Kamel aus Malachit und gold gefertigt inroter Truhe, Auswärtiges Amt, 2008/10/27, , Geschenkelager, AA, fail
Knochenschnitzerei, Auswärtiges Amt, ???, , Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2006/03/09, 6 Kristallgläser (Cognac), aufwändig gearbeitet ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2008/07/17, Große Vase mit Henkeln (weiß/blau) ,Geschenkelager, AA, fail
Standbild aus Holzrahmen, metallgefertigt, links, Auswärtiges Amt, 2008/07/17, ,Geschenkelager, AA, fail
einheimisches Segelschiff, Palasteingang, Staat Kuwait , Auswärtiges Amt, 2008/07/17, , Geschenke-, AA, fail
Zentrale , Auswärtiges Amt, 2006/05/21, 45x33cm ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, ???, Rote Samtkiste mit geknüpftem Teppich , Teppichlager (, AA, fail
Holzschiff namens "The Royal Ship of Cheops" in , Auswärtiges Amt, ???, , Geschenke-, AA, fail
Zentrale , Auswärtiges Amt, 2008/08/13, Glasvitrine ,Geschenkelager, AA, fail
Geschenkelagerber???Zentrale , Auswärtiges Amt, 2008/08/13, Schwert, gebogen, ca 65cm lang ,Geschenkelager, AA, fail
in kupferfarbenem Blech gerahmtes und besticktes , Auswärtiges Amt, 2008/08/13, , Geschenke-, AA, fail
Zentrale , Auswärtiges Amt, 2007/05/05, Kissen, 37x37cm ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2007/07/04, Poster "Blauer Stern Europa" , Poster entsorg, AA, fail
Zentrale , Auswärtiges Amt, 2007/06/29, Brauner Alpaca Herrenschal ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2007/07/05, Bildband von M Tabacki ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2007/06/21, Metallrelief in Holzrahmen (32x32cm) ,Geschenkelager, AA, fail
Aktie Bahn-AG , Auswärtiges Amt, 2008 /07/11, ,Geschenkelager, AA, fail
mexikanisches Kunstbuch , Auswärtiges Amt, 2005 /11/24, ,Geschenkelager, AA, fail
1 Radierung 12,5x10cm , Auswärtiges Amt, 2006 /11/06, ,Geschenkelager, AA, fail
elektronische Fotobilderrahmen , Auswärtiges Amt, 2007 /09/27, ,Geschenkelager, AA, fail
Wandteller mit Tiermotiven, Blech, Durchmesser ca , Auswärtiges Amt, 2007 /09/27, , Geschenke-, AA, fail
Zentrale , Auswärtiges Amt, 2006/06/29, 40cm ,Geschenkelager, AA, fail
Brieföffner, metall, pfeilähnlich, in rundem Steinhalter, , Auswärtiges Amt, 2006/06/29, , Geschenke-, AA, fail
Zentrale , Auswärtiges Amt, 2006/03/15, Oberfläche angerauht ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2008/10/27, Silberchale ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2007/02/07, Bildband Belgrad ,Geschenkelager, AA, fail
silberner Metallbaum auf schwarzem Steinsockel mitschwarzen "Früchten" (Sockel 9,5x9,5cm, Höhe ca.20cm), Auswärtiges Amt, 2006/07/06, , Geschenkelager, AA, fail
Vase ca 40cm hoch, Holz, Auswärtiges Amt, 2007/02/09, , Geschenkelager, AA, fail
Buch über die Ukraine in deutscher Sprache, Auswärtiges Amt, 2009/06/17, , Geschenkelager, AA, fail
Runder Spiegel in handgearbeitetem Metallrahmen mitOrnamenten, Durchmesser 25cm, Auswärtiges Amt, 2009/06/16, , Geschenkelager, AA, fail
runder bemalter Holzteller, Durchmesser 40cm,Vogelmotiv, Auswärtiges Amt, 2009/06/17, , Geschenkelager, AA, fail
Silberne arabische Kaffeekanne, 25x25cm, Auswärtiges Amt, 2006/05/21, , Geschenkelager, AA, fail
Besteckkasten, Griffe aus Plastik in Form eines Vogels, Auswärtiges Amt, 2006/09/28, , Geschenkelager, AA, fail
Vasw, Auswärtiges Amt, 2008/04/16, , Geschenkelager, AA, fail
Keramikvase, Auswärtiges Amt, 2007/04/11, , Geschenkelager, AA, fail
Gelkerze in Marmorummantelung mit Metalldeckel undGlasteller, lila, Auswärtiges Amt, 2008/12/04, , Geschenkelager, AA, fail
gerahmte handbemalte Kachel, Goldrahmen, Atelier"Bouhoura Keramos" 2003, 28x50cm, Auswärtiges Amt, 2006/03/08, , Geschenkelager, AA, fail
Bild, Auswärtiges Amt, 2006/03/08, , Geschenkelager, AA, fail
Bild, Auswärtiges Amt, 2006/03/08, , Geschenkelager, AA, fail
Bild, Auswärtiges Amt, 2006/03/08, , Geschenkelager, AA, fail
Bild in gold, Rahmen 46x34cm, Auswärtiges Amt, 2007/04/18, , Geschenkelager, AA, fail
Teppich "Garabagh" aus Aserbaidschan, Auswärtiges Amt, 2015/02/18, , Geschenkelager, AA, fail
Hocker aus Holz mit Schnitzereien, Auswärtiges Amt, 2006/11/01, , Geschenkelager, AA, fail
Afrikanische Holzfigur zum aufhängen, Auswärtiges Amt, 2008/11/27, , Geschenkelager, AA, fail
Damenchronograph DFB Sonderedition An: Peking, Auswärtiges Amt, 2015/02/06, , Geschenkelager, AA, fail
Kindle E-Book-Reader An: Peking, Auswärtiges Amt, 2015/02/12, , Geschenkelager, AA, fail
silberne Manschettenknöpfe mit schwarzem Stein, Auswärtiges Amt, 2014/11/01, , Geschenkelager, AA, fail
1 Set Krawatte, Einstecktuch, Manschettenknöpfe, Auswärtiges Amt, 2014/10/21, , Geschenkelager, AA, fail
Bernsteinkette, Auswärtiges Amt, 2014/12/01, , Geschenkelager, AA, fail
Kalender von PAMP aus Feinsilber An: Riad, Auswärtiges Amt, 2014/12/21, , Geschenkelager, AA, fail
Handtasche An: Manila, Auswärtiges Amt, 2015/02/11, ca. 66, Geschenkelager, AA, fail
Krawatte von Louis Vuitton, Auswärtiges Amt, 2015/01/16, , Geschenkelager, AA, fail
Geschenkbox Manschettenknöpfe,Schlüsselanhänger, USB-Stick), Auswärtiges Amt, 2014/12/05, , Geschenkelager, AA, fail
